dataset,total_shots,seed,comparison,order_id,metric,deterministic_value,evaluated_unique_permutation_mean,difference,evaluated_unique_permutation_count
rte,8,2,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.8494580489763147,0.8285062389261099,0.020951810050204855,38
rte,8,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.875,0.8559210526315789,0.019078947368421084,38
rte,8,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8742928975487115,0.855063010067558,0.019229887481153507,38
rte,8,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.845,0.8559210526315789,-0.010921052631578942,38
rte,8,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.843871975019516,0.855063010067558,-0.011191035048041975,38
rte,8,3,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.845,0.8559210526315789,-0.010921052631578942,38
rte,8,3,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.843871975019516,0.855063010067558,-0.011191035048041975,38
rte,8,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.865,0.8748684210526316,-0.009868421052631637,38
rte,8,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.8648344221671547,0.8746590973452065,-0.009824675178051856,38
rte,8,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.88,0.8748684210526316,0.005131578947368376,38
rte,8,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.8798919027124412,0.8746590973452065,0.005232805367234694,38
rte,8,4,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.875,0.8748684210526316,0.0001315789473683715,38
rte,8,4,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.8748466871918099,0.8746590973452065,0.0001875898466033865,38
rte,8,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.84,0.8451315789473683,-0.005131578947368376,38
